0,1,2,3,4
2007 American League Pitcher Review ← 2006 | 2007 A.L. Pitching Statistics League Leaders | 2008 →,2007 American League Pitcher Review ← 2006 | 2007 A.L. Pitching Statistics League Leaders | 2008 →,2007 American League Pitcher Review ← 2006 | 2007 A.L. Pitching Statistics League Leaders | 2008 →,2007 American League Pitcher Review ← 2006 | 2007 A.L. Pitching Statistics League Leaders | 2008 →,2007 American League Pitcher Review ← 2006 | 2007 A.L. Pitching Statistics League Leaders | 2008 →
Statistic,Name,Team,#,Top 25
Complete Games,Roy Halladay,Toronto,7,Top 25
ERA,John Lackey,Los Angeles,3.01,Top 25
Games,Jamie Walker,Baltimore,81,Top 25
Saves,Joe Borowski,Cleveland,45,Top 25
Shutouts,Paul Byrd,Cleveland,2,Top 25
Shutouts,Jose Contreras,Chicago,2,Top 25
Shutouts,John Lackey,Cleveland,2,Top 25
Shutouts,Jeff Weaver,Seattle,2,Top 25
Strikeouts,Scott Kazmir,Tampa Bay,239,Top 25
Winning Percentage,Justin Verlander,Detroit,.762,Top 25
Wins,Josh Beckett,Boston,20,Top 25
Statistic,Name,Team,#,Top 25
2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2007 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
